학교ID,학교명,학교급구분,설립일자,설립형태,본교분교구분,운영상태,소재지지번주소,소재지도로명주소,시도교육청코드,시도교육청명,교육지원청코드,교육지원청명,생성일자,변경일자,위도,경도,데이터기준일자,제공기관코드,제공기관명
B000003008,인천마곡초등학교,초등학교,1989-09-01,공립,본교,운영,인천광역시 부평구 산곡동 68,인천광역시 부평구 마곡로27번길 16(산곡동.인천마곡초등학교),7310000,인천광역시교육청,7331000,인천광역시북부교육지원청,2013-11-29,2018-08-22,37.51149266,126.6978699,2018-09-10,B090027,한국교육개발원
B000003009,인천대정초등학교,초등학교,1987-10-02,공립,본교,운영,인천광역시 부평구 산곡동 311-150,인천광역시 부평구 안남로 115 (산곡동),7310000,인천광역시교육청,7331000,인천광역시북부교육지원청,2013-11-29,2018-08-22,37.49357899,126.7092627,2018-09-10,B090027,한국교육개발원
B000003010,인천청천초등학교,초등학교,1973-05-10,공립,본교,운영,인천광역시 부평구 청천동 34-6,인천광역시 부평구 산청로127번길 12-5(청천동. 인천청천초등학교),7310000,인천광역시교육청,7331000,인천광역시북부교육지원청,2013-11-29,2018-08-22,37.5203824,126.7008377,2018-09-10,B090027,한국교육개발원
B000003318,월봉초등학교,초등학교,2005-03-01,공립,본교,운영,광주광역시 광산구 산월동 884-4,광주광역시 광산구 산월로 101 (산월동.월봉초등학교),7380000,광주광역시교육청,7401000,광주광역시서부교육지원청,2013-11-29,2018-08-22,35.2093413,126.8480727,2018-09-10,B090027,한국교육개발원
B000006083,이리중앙초등학교,초등학교,1945-10-19,공립,본교,운영,전라북도 익산시 갈산동 47,전라북도 익산시 인북로 77(갈산동),8320000,전라북도교육청,8351000,전라북도익산교육지원청,2013-11-29,2018-08-22,35.93619936,126.9508762,2018-09-10,B090027,한국교육개발원
B000006084,이리동남초등학교,초등학교,1992-09-01,공립,본교,운영,전라북도 익산시 동산동 140-1,전라북도 익산시 동천로 7길 18 (동산동),8320000,전라북도교육청,8351000,전라북도익산교육지원청,2013-11-29,2018-08-22,35.93109869,126.9702293,2018-09-10,B090027,한국교육개발원
B000006085,이리동산초등학교,초등학교,1941-04-10,공립,본교,운영,전라북도 익산시 동산동 220,전라북도 익산시 평동로 23길 46. 이리동산초등학교 (동산동),8320000,전라북도교육청,8351000,전라북도익산교육지원청,2013-11-29,2018-08-22,35.93187836,126.9633878,2018-09-10,B090027,한국교육개발원
B000006086,이리송학초등학교,초등학교,1949-10-04,공립,본교,운영,전라북도 익산시 송학동 97-7,전라북도 익산시 학곤로 57 (송학동. 송학초등학교),8320000,전라북도교육청,8351000,전라북도익산교육지원청,2013-11-29,2018-08-22,35.93657688,126.9400857,2018-09-10,B090027,한국교육개발원
B000006087,이리서초등학교,초등학교,1983-09-09,공립,본교,운영,전라북도 익산시 남중동 458-7,전라북도 익산시 익산대로 213. 이리서초등학교 (남중동),8320000,전라북도교육청,8351000,전라북도익산교육지원청,2013-11-29,2018-08-22,35.94559581,126.9483133,2018-09-10,B090027,한국교육개발원
B000003035,인천산곡남초등학교,초등학교,1986-03-01,공립,본교,운영,인천광역시 부평구 산곡동 232-1,인천광역시 부평구 부흥로144번길 30 (산곡동. 산곡남초등학교),7310000,인천광역시교육청,7331000,인천광역시북부교육지원청,2013-11-29,2018-08-22,37.49702987,126.7067833,2018-09-10,B090027,한국교육개발원
B000003036,인천신촌초등학교,초등학교,1982-09-01,공립,본교,운영,인천광역시 부평구 십정동 186-346,인천광역시 부평구 경원대로 1215. (십정동. 인천신촌초등학교),7310000,인천광역시교육청,7331000,인천광역시북부교육지원청,2013-11-29,2018-08-22,37.48638811,126.7067291,2018-09-10,B090027,한국교육개발원
B000003037,인천하정초등학교,초등학교,1991-05-01,공립,본교,운영,인천광역시 부평구 십정동 393,인천광역시 부평구 이규보로 14. 십정동 393 (십정동. 인천하정초등학교),7310000,인천광역시교육청,7331000,인천광역시북부교육지원청,2013-11-29,2018-08-22,37.47477981,126.7006997,2018-09-10,B090027,한국교육개발원
B000006089,이리신흥초등학교,초등학교,1957-04-15,공립,본교,운영,전라북도 익산시 금강동 349-1,전라북도 익산시 하나로 3길 10 (금강동. 신흥초등학교),8320000,전라북도교육청,8351000,전라북도익산교육지원청,2013-11-29,2018-08-22,35.93438513,126.9787704,2018-09-10,B090027,한국교육개발원
B000006090,이리마한초등학교,초등학교,2000-03-01,공립,본교,운영,전라북도 익산시 영등동 817,전라북도 익산시 무왕로17길 47(영등동.마한초등학교),8320000,전라북도교육청,8351000,전라북도익산교육지원청,2013-11-29,2018-08-22,35.96258281,126.9784748,2018-09-10,B090027,한국교육개발원
B000006091,이리백제초등학교,초등학교,2000-03-01,공립,본교,운영,전라북도 익산시 영등동 813,전라북도 익산시 궁동로 29 (영등동. 백제초등학교),8320000,전라북도교육청,8351000,전라북도익산교육지원청,2013-11-29,2018-08-22,35.96250515,126.9739481,2018-09-10,B090027,한국교육개발원
B000006092,이리동초등학교,초등학교,1980-05-13,공립,본교,운영,전라북도 익산시 영등동 155,전라북도 익산시 동서로 51길 57 (영등동. 이리동초등학교),8320000,전라북도교육청,8351000,전라북도익산교육지원청,2013-11-29,2018-08-22,35.95689627,126.9772058,2018-09-10,B090027,한국교육개발원
B000006093,이리북일초등학교,초등학교,1938-03-09,공립,본교,운영,전라북도 익산시 신동 764-1,전라북도 익산시 동서로 19길 100 (신동.이리북일초등학교),8320000,전라북도교육청,8351000,전라북도익산교육지원청,2013-11-29,2018-08-22,35.96254185,126.9585428,2018-09-10,B090027,한국교육개발원
B000006094,이리계문초등학교,초등학교,1921-04-01,공립,본교,운영,전라북도 익산시 신용동 670-2,전라북도 익산시 계문길 79-8. 이리계문초등학교 (신용동. 계문초등학교),8320000,전라북도교육청,8351000,전라북도익산교육지원청,2013-11-29,2018-08-22,35.97303842,126.9433635,2018-09-10,B090027,한국교육개발원
B000006095,익산초등학교,초등학교,2001-03-01,공립,본교,운영,전라북도 익산시 어양동 593,전라북도 익산시 동서로61길 27-38(어양동. 익산초등학교),8320000,전라북도교육청,8351000,전라북도익산교육지원청,2013-11-29,2018-08-22,35.95420239,126.9792521,2018-09-10,B090027,한국교육개발원
B000006096,익산어양초등학교,초등학교,2001-09-01,공립,본교,운영,전라북도 익산시 어양동 692,전라북도 익산시 하나로10길 23(어양동),8320000,전라북도교육청,8351000,전라북도익산교육지원청,2013-11-29,2018-08-22,35.9613586,126.9829172,2018-09-10,B090027,한국교육개발원
B000006097,이리팔봉초등학교,초등학교,1921-05-01,공립,본교,운영,전라북도 익산시 팔봉동 403-1,전라북도 익산시 무왕로 31길 10 (팔봉동),8320000,전라북도교육청,8351000,전라북도익산교육지원청,2013-11-29,2018-08-22,35.96714452,127.0124039,2018-09-10,B090027,한국교육개발원
B000004808,전곡초등학교,초등학교,1923-03-04,공립,본교,운영,경기도 연천군 전곡읍 전곡리 331-1,경기도 연천군 전곡읍 선사로 433(전곡읍.전곡초등학교),7530000,경기도교육청,7701000,경기도연천교육지원청,2013-11-29,2018-08-22,38.02750789,127.0721257,2018-09-10,B090027,한국교육개발원
B000023884,이천사동중학교,중학교,2010-03-01,공립,본교,운영,경기도 이천시 대월면 사동리 519,경기도 이천시 대월면 경충대로 2050번길 68-13. 이천사동중학교 (대월면),7530000,경기도교육청,7741000,경기도이천교육지원청,2013-11-29,2018-08-22,37.24789244,127.4964492,2018-09-10,B090027,한국교육개발원
B000026196,율정초등학교,초등학교,2015-03-01,공립,본교,운영,경기도 양주시 옥정동 1028,경기도 양주시 옥정동로 245-41(옥정동),7530000,경기도교육청,7602000,경기도동두천양주교육지원청,2013-11-29,2018-08-22,37.82791177,127.0960906,2018-09-10,B090027,한국교육개발원
